address,is_erc20,is_erc721,block_number,block_timestamp
0x9a78bba29a2633b4b3162a28ce498c98daee5af8,false,false,8623545,2019-09-26 08:50:33 UTC
0x85aa7fbc06e3f959aa358159db60e063171314db,false,false,8621323,2019-09-26 00:29:37 UTC
0xc3649f1e59705f219be0c1c9111a4e84c1aaba0f,false,false,8621325,2019-09-26 00:29:58 UTC
0x763fe69be6c6ec191daba6390e84288726e7f989,false,false,8621263,2019-09-26 00:16:47 UTC
0xcd05b1405efa69ff1e1bd2296f1207f1edca9759,false,false,8621206,2019-09-26 00:05:37 UTC
0xdeb220a2403e6538466977e0b31ffa786661bbe6,false,false,5363203,2018-04-01 21:23:28 UTC
0x0de0e9971ad93b3b880b6c90973094ec89387d40,false,false,5359109,2018-04-01 05:10:50 UTC
0x58c38ad83417e7b6fc31ab7ac65b004bf92acb6b,false,false,5362728,2018-04-01 19:37:44 UTC
0xadce4fe9b3c2ed07105da4ebded4c599cefcbd7f,false,false,5362995,2018-04-01 20:39:21 UTC
0x6fe77efba17afa5d6df731802544ed67bcc40e1a,false,false,5363518,2018-04-01 22:49:15 UTC
0x391db5cb42e918bb2e196c60522f8fe611232b79,false,false,5359958,2018-04-01 08:35:45 UTC
0x61d0e4402996bd366c78ed2159512eff2976d8b1,false,false,5358721,2018-04-01 03:37:49 UTC
0x356db362d67e065aa61f7c1a05ce85df17c14f1f,false,false,5359534,2018-04-01 06:56:57 UTC
0x80c676fbba7464328fc0b596b96d5e0e5f45ae4b,false,false,5363162,2018-04-01 21:12:15 UTC
0x2f73ea1b261dfa762dad31c936c32e340a3ba54a,false,false,5358309,2018-04-01 02:04:26 UTC
0x8bdb0567c9db489d668ef75a393aa4b47135d73a,false,false,5359093,2018-04-01 05:05:46 UTC
0x128e9904959629d5bb7e8fef0542e8a82fe787ab,false,false,5357919,2018-04-01 00:30:49 UTC
0x1d601b70f3d8489c0acb17d6182ba677fd0a3be4,false,false,8377968,2019-08-19 01:43:53 UTC
0xc0ce6542be0df272b4dbcc820c0cb3fae5aaa8e9,false,false,8378020,2019-08-19 01:54:08 UTC
0xdb98e880a574766500f5505690d7606cde014545,false,false,8380961,2019-08-19 13:01:59 UTC
